,name of item,price (RM),number of downloads,item URL
32,"Digital planner, Goodnotes planner, iPad planner, Notability planner, Dated digital planner, Digital calendar",67.78,10500.0,https://www.etsy.com/listing/979834364/digital-planner-goodnotes-planner-ipad?click_key=0bfb544ad7df0ad62275cb0a7f609130bdbcc808%3A979834364&click_sum=3507c763&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-21&pro=1&bes=1&sts=1&dd=1
33,"2024 digital planner, dated digital planner, pink digital journal, goodnotes planner, ipad planner, daily notability planner, ADHD planner",24.21,875.0,https://www.etsy.com/listing/1552881992/2024-digital-planner-dated-digital?click_key=555ab46778d7a7a448cd5e77ff55a6c8195f6b7a%3A1552881992&click_sum=3b09e2de&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-22&pro=1&bes=1&dd=1
34,"1000 Digital Products Ideas To Create And Sell Today For Passive Income, Etsy Digital Downloads Small Business Ideas and Bestsellers to Sell",8.01,19600.0,https://www.etsy.com/listing/1357028341/1000-digital-products-ideas-to-create?click_key=b4fcf623e8f74c431ad38d51ab848b02eb5e06c5%3A1357028341&click_sum=a8854bc7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-23&pro=1&pop=1&sts=1&dd=1
35,"ADHD Digital Planner (made by an ADHDer) for iPad, Goodnotes + Android. Adult ADD daily planner, self care & habit tracker. Science based",70.49,5400.0,https://www.etsy.com/listing/1345375335/adhd-digital-planner-made-by-an-adhder?click_key=58ada5f28463a2e6d0611b733a2ae76a1da70f8d%3A1345375335&click_sum=76862f83&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-24&pro=1&bes=1&sts=1&dd=1
36,This Girl Digital Planner by PlannersGoodies Goodnotes ipad Android Dated Planner 2024 Calendar Goal Setting Aesthetic 2024 Gift for Her,51.37,31.0,https://www.etsy.com/listing/1669319797/this-girl-digital-planner-by?click_key=134b0c34238279790d23953f6685f8c19acb02f4%3A1669319797&click_sum=9b172e22&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-13&pro=1&sts=1&dd=1
37,"Digital planner, GoodNotes Planner, iPad planner, Dated digital planner, Notability planner, Digital calendar, Boho digital planner",54.31,1.0,https://www.etsy.com/listing/1676795043/digital-planner-goodnotes-planner-ipad?click_key=ab98a7e59806fb41ef37e9ffada5aaa5b557aafd%3A1676795043&click_sum=cfa3cdf4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-14&pro=1&dd=1
38,Productivity Planner | Motivational Dream. Plan. Do. Planner | Undated Daily & Weekly Planner View | Hardcover planner | Pink,118.42,92.0,https://www.etsy.com/listing/1516567403/productivity-planner-motivational-dream?click_key=cc59161b809bf8056ad046bac78c6b0654d6143b%3A1516567403&click_sum=ac21375f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-15&frs=1
39,"PLR ADHD Planner for Kids | Digital Planner 2024 Adhd Planner Printable Plr Adhd Planner Printable, ADHD Productivity Planner",56.68,,https://www.etsy.com/listing/1671263207/plr-adhd-planner-for-kids-digital?click_key=56300e20e7499b8b9fdbd3172a3757c3784bb844%3A1671263207&click_sum=12d9533d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79416-1-16&pro=1&dd=1
40,"Digital Daily Planner 2024 2025 UNDATED, iPad Goodnotes planner, Notability planner, Noteshelf planner, Samsung, dated digital planner",47.51,3300.0,https://www.etsy.com/listing/1409095152/digital-daily-planner-2024-2025-undated?click_key=53c6c913a419d0ba9d11429b51e785a2218de79d%3A1409095152&click_sum=05ace271&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-25&pro=1&bes=1&sts=1&dd=1
41,Digital Planner 2024 2025 Undated Digital Planner Goodnotes Planner Daily Weekly Monthly Planner Notability iPad Planner Goodnote,15.80,3300.0,https://www.etsy.com/listing/1583214453/digital-planner-2024-2025-undated?click_key=2a893f4d759b9d3bc115dfcbcffb531147578b9a%3A1583214453&click_sum=4eaf17a7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-26&pro=1&bes=1&sts=1&dd=1
42,"Digital Planner, Goodnotes Planner, Daily Digital Planner, iPad Planner, Notability Planner, 2024 Dated Undated Digital Planner",21.78,851.0,https://www.etsy.com/listing/1415021735/digital-planner-goodnotes-planner-daily?click_key=201674f714f176d57fba37ac705163e4b469dd48%3A1415021735&click_sum=975dc726&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-27&pro=1&bes=1&dd=1
